generation,type,ind,X1,X2,prediction,fitness
1,cfacts,47,0.986511266,0.81470489,1,1.077488334
1,cfacts,51,0.829280196,0.142292182,1,1.697192415
1,cfacts,52,0.954825808,0.591602643,1,1.276740701
1,cfacts,53,0.649463499,0.418620625,1,2.306303469
1,cfacts,54,0.875993598,0.207425125,1,1.593778597
1,cfacts,61,0.826614476,0.169696627,1,1.717683508
1,cfacts,62,0.680434379,0.2976886,1,2.309105795
1,cfacts,0,0.565127837,0.501852603,1,2.478900713
1,cfacts,2,0.83445997,0.434188924,1,1.631864268
1,cfacts,6,0.90774668,0.322792726,1,1.511116373
1,cfacts,7,0.304580198,0.131046048,1,7.640705835
1,cfacts,8,0.771262809,0.603131781,1,1.588268346
1,cfacts,13,0.579419181,0.51264629,1,2.373562844
1,cfacts,14,0.55626357,0.41620974,1,2.869785443
1,cfacts,15,0.535854831,0.33576407,1,3.350719156
1,cfacts,18,0.615739508,0.267293281,1,2.731135153
1,cfacts,20,0.99238777,0.509962566,1,1.271314132
1,cfacts,23,0.84017567,0.753581035,1,1.288953953
1,cfacts,25,0.79221021,0.57579246,1,1.580876745
1,cfacts,28,0.487525213,0.139410837,1,3.816677422
1,cfacts,32,0.743848236,0.00111333,1,1.808254242
1,cfacts,34,0.497594714,0.157379449,1,3.782842342
1,cfacts,36,0.88116357,0.548274263,1,1.432472204
1,cfacts,39,0.886852188,0.590066027,1,1.385119126
1,cfacts,41,0.418340471,0.357478931,1,5.006874493
1,cfacts,2,0.70856272,0.255160827,1,2.180588679
1,cfacts,3,0.749029792,0.523095387,1,1.757874271
1,cfacts,4,0.916765508,0.512582714,1,1.395464567
1,cfacts,7,0.793366464,0.462420924,1,1.714054055
1,cfacts,8,0.605060276,0.015061059,1,2.348789483
1,cfacts,9,0.8488931,0.304250157,1,1.662938417
1,cfacts,10,0.376977632,0.107421725,1,5.237692682
1,cfacts,11,0.738972718,0.509701987,1,1.806162494
1,cfacts,13,0.891688554,0.28348799,1,1.55627058
1,cfacts,16,0.861326604,0.671869419,1,1.346327945
1,cfacts,21,0.936164462,0.290415997,1,1.454855027
1,cfacts,22,0.521100831,0.074311504,1,3.095484102
1,cfacts,23,0.900324332,0.560892123,1,1.387316673
1,cfacts,0,0.994767143,0.29217128,1,1.340554221
1,cfacts,8,0.935634519,0.501595433,1,1.369227294
